revision,persona,criterion,mean,sd,min,max,n
f9c6392^,explorer,clarity,3.2,0.447,3,4,5
f9c6392^,explorer,behavioral_specificity,2.0,0.0,2,2,5
f9c6392^,explorer,neutrality,2.0,0.0,2,2,5
f9c6392^,explorer,hypothesis_leakage,1.0,0.0,1,1,5
f9c6392^,fastbuyer,clarity,3.2,0.447,3,4,5
f9c6392^,fastbuyer,behavioral_specificity,2.0,0.0,2,2,5
f9c6392^,fastbuyer,neutrality,1.0,0.0,1,1,5
f9c6392^,fastbuyer,hypothesis_leakage,1.0,0.0,1,1,5
f9c6392^,detailedcomparator,clarity,4.0,0.0,4,4,5
f9c6392^,detailedcomparator,behavioral_specificity,1.2,0.447,1,2,5
f9c6392^,detailedcomparator,neutrality,2.0,0.0,2,2,5
f9c6392^,detailedcomparator,hypothesis_leakage,1.0,0.0,1,1,5
f9c6392^,discounthunter,clarity,4.2,0.447,4,5,5
f9c6392^,discounthunter,behavioral_specificity,2.0,0.0,2,2,5
f9c6392^,discounthunter,neutrality,2.0,0.0,2,2,5
f9c6392^,discounthunter,hypothesis_leakage,1.0,0.0,1,1,5
f9c6392^,windowshopper,clarity,4.0,0.0,4,4,5
f9c6392^,windowshopper,behavioral_specificity,2.2,0.447,2,3,5
f9c6392^,windowshopper,neutrality,3.0,0.0,3,3,5
f9c6392^,windowshopper,hypothesis_leakage,1.4,0.548,1,2,5
f9c6392^,ALL,cross_cell_fairness,2.0,0.0,2,2,5
working,explorer,clarity,4.4,0.548,4,5,5
working,explorer,behavioral_specificity,3.0,0.0,3,3,5
working,explorer,neutrality,3.6,0.548,3,4,5
working,explorer,hypothesis_leakage,3.8,0.447,3,4,5
working,fastbuyer,clarity,4.0,0.0,4,4,5
working,fastbuyer,behavioral_specificity,3.6,0.548,3,4,5
working,fastbuyer,neutrality,3.6,0.548,3,4,5
working,fastbuyer,hypothesis_leakage,3.4,0.548,3,4,5
working,detailedcomparator,clarity,4.0,0.0,4,4,5
working,detailedcomparator,behavioral_specificity,2.4,0.548,2,3,5
working,detailedcomparator,neutrality,4.0,0.0,4,4,5
working,detailedcomparator,hypothesis_leakage,4.0,0.0,4,4,5
working,discounthunter,clarity,4.0,0.0,4,4,5
working,discounthunter,behavioral_specificity,3.4,0.548,3,4,5
working,discounthunter,neutrality,4.0,0.0,4,4,5
working,discounthunter,hypothesis_leakage,3.2,0.837,2,4,5
working,windowshopper,clarity,4.4,0.548,4,5,5
working,windowshopper,behavioral_specificity,2.8,0.837,2,4,5
working,windowshopper,neutrality,3.6,0.548,3,4,5
working,windowshopper,hypothesis_leakage,3.8,0.447,3,4,5
working,ALL,cross_cell_fairness,3.2,0.447,3,4,5
