study_id,cell_id,policy,archetype,seed,n_sessions,conversion_count,conversion_rate,reward_mean,reward_sd,total_steps,step_count_mean,step_count_sd,funnel_depth_mean,funnel_depth_sd,action_count,action_no_op_count,action_no_op_share,action_trending_carousel_count,action_trending_carousel_share,action_discount_banner_count,action_discount_banner_share,action_frequently_bought_together_count,action_frequently_bought_together_share,action_trust_badge_count,action_trust_badge_share,action_help_popup_count,action_help_popup_share,fallback_decisions,missing_feature_decisions,unseen_context_decisions,unseen_context_rate,partially_unseen_context_decisions,selected_unseen_arm_decisions,decisions_with_oov_tokens,oov_token_occurrences,scalar_token_occurrences,oov_token_rate,mean_selected_policy_score,diagnostics_json
clickworker_pre_recruitment_20260721,v2_bandit__Explorer,v2_bandit,Explorer,20360724,2000,44,0.022,0.42277166702944713,1.8185842392715792,6566,3.283,2.1968896563280187,2.046,0.8725048036063515,6566,33,0.005025890953396284,468,0.07127627170271093,1933,0.29439537008833383,1142,0.17392628693268353,2833,0.4314651233627779,157,0.02391105696009747,0,0,1,0.00015229972586049346,13,1,0,0,0,0,0,"{""decisions"":6566,""fallback_decisions"":0,""missing_feature_decisions"":0,""missing_features"":{},""partially_unseen_context_decisions"":13,""selected_unseen_arm_decisions"":1,""unseen_context_decisions"":1,""unseen_context_rate"":0.00015229972586049346}"
clickworker_pre_recruitment_20260721,v2_bandit__FastBuyer,v2_bandit,FastBuyer,20460727,2000,463,0.2315,2.648676358618193,4.3895679366669516,5827,2.9135,1.2891270978213003,2.988,1.4120385711669605,5827,98,0.016818259824952806,322,0.05525999656770208,2148,0.36862879697957784,727,0.12476402951776214,2340,0.4015788570447915,192,0.03295006006521366,0,0,0,0.0,61,0,0,0,0,0,0,"{""decisions"":5827,""fallback_decisions"":0,""missing_feature_decisions"":0,""missing_features"":{},""partially_unseen_context_decisions"":61,""selected_unseen_arm_decisions"":0,""unseen_context_decisions"":0,""unseen_context_rate"":0.0}"
clickworker_pre_recruitment_20260721,v2_bandit__DetailedComparator,v2_bandit,DetailedComparator,20560730,2000,172,0.086,2.0476192451325055,3.4010490642157682,8417,4.2085,2.861314612316396,2.4565,1.1330267537937515,8417,98,0.011643103243435904,622,0.07389806344303196,2268,0.26945467506237375,1665,0.19781394796245694,3510,0.41701318759653083,254,0.030177022692170607,0,0,0,0.0,65,1,0,0,0,0,0,"{""decisions"":8417,""fallback_decisions"":0,""missing_feature_decisions"":0,""missing_features"":{},""partially_unseen_context_decisions"":65,""selected_unseen_arm_decisions"":1,""unseen_context_decisions"":0,""unseen_context_rate"":0.0}"
clickworker_pre_recruitment_20260721,v2_bandit__DiscountHunter,v2_bandit,DiscountHunter,20660733,2000,69,0.0345,0.7142298591842493,2.013998261491151,4904,2.452,1.3699030320276613,2.14,1.0511671970900343,4904,37,0.007544861337683523,207,0.042210440456769985,1835,0.374184339314845,616,0.12561174551386622,2093,0.42679445350734097,116,0.02365415986949429,0,0,0,0.0,19,0,0,0,0,0,0,"{""decisions"":4904,""fallback_decisions"":0,""missing_feature_decisions"":0,""missing_features"":{},""partially_unseen_context_decisions"":19,""selected_unseen_arm_decisions"":0,""unseen_context_decisions"":0,""unseen_context_rate"":0.0}"
clickworker_pre_recruitment_20260721,v2_bandit__WindowShopper,v2_bandit,WindowShopper,20760736,2000,2,0.001,-0.2857427253887466,0.8610638744030118,3830,1.915,1.051821355593259,1.5705,0.6109143623938543,3830,2,0.0005221932114882506,123,0.032114882506527415,1532,0.4,423,0.11044386422976502,1675,0.43733681462140994,75,0.0195822454308094,0,0,0,0.0,0,0,0,0,0,0,0,"{""decisions"":3830,""fallback_decisions"":0,""missing_feature_decisions"":0,""missing_features"":{},""partially_unseen_context_decisions"":0,""selected_unseen_arm_decisions"":0,""unseen_context_decisions"":0,""unseen_context_rate"":0.0}"
clickworker_pre_recruitment_20260721,v3_ppo__Explorer,v3_ppo,Explorer,20360724,2000,51,0.0255,0.8662869734138929,2.069278182238129,6525,3.2625,2.1943111107191053,2.0585,0.8930153908215256,6525,0,0.0,2588,0.39662835249042144,0,0.0,2951,0.4522605363984674,0,0.0,986,0.1511111111111111,0,0,0,0,0,0,1322,1322,62142,0.021273856650896334,0.18906339776927028,"{""decisions"":6525,""decisions_with_oov_tokens"":1322,""fallback_decisions"":0,""mean_selected_policy_score"":0.18906339776927028,""min_selected_policy_score"":0.17653661966323853,""oov_token_occurrences"":1322,""oov_token_rate"":0.021273856650896334,""oov_tokens"":{""primed_credit_bucket=1"":986,""primed_credit_bucket=2"":336},""production_history_recomputed"":true,""scalar_token_occurrences"":62142,""serving_equivalent"":true}"
clickworker_pre_recruitment_20260721,v3_ppo__FastBuyer,v3_ppo,FastBuyer,20460727,2000,458,0.229,2.512584704053,4.358868088761463,5791,2.8955,1.3017015646766892,2.9665,1.4136396069965056,5791,0,0.0,2524,0.4358487307891556,0,0.0,2438,0.4209981005007771,0,0.0,829,0.14315316871006734,0,0,0,0,0,0,978,978,55910,0.017492398497585406,0.19079085895793257,"{""decisions"":5791,""decisions_with_oov_tokens"":978,""fallback_decisions"":0,""mean_selected_policy_score"":0.19079085895793257,""min_selected_policy_score"":0.17960414290428162,""oov_token_occurrences"":978,""oov_token_rate"":0.017492398497585406,""oov_tokens"":{""primed_credit_bucket=1"":922,""primed_credit_bucket=2"":56},""production_history_recomputed"":true,""scalar_token_occurrences"":55910,""serving_equivalent"":true}"
clickworker_pre_recruitment_20260721,v3_ppo__DetailedComparator,v3_ppo,DetailedComparator,20560730,2000,168,0.084,1.7906281652771265,3.3686960208449594,8295,4.1475,2.8181047899791896,2.438,1.1295104678348378,8295,0,0.0,3014,0.36335141651597347,0,0.0,4248,0.512115732368897,0,0.0,1033,0.1245328511151296,0,0,0,0,0,0,1961,1961,79200,0.02476010101010101,0.1900655762537766,"{""decisions"":8295,""decisions_with_oov_tokens"":1961,""fallback_decisions"":0,""mean_selected_policy_score"":0.1900655762537766,""min_selected_policy_score"":0.17653661966323853,""oov_token_occurrences"":1961,""oov_token_rate"":0.02476010101010101,""oov_tokens"":{""primed_credit_bucket=1"":1539,""primed_credit_bucket=2"":422},""production_history_recomputed"":true,""scalar_token_occurrences"":79200,""serving_equivalent"":true}"
clickworker_pre_recruitment_20260721,v3_ppo__DiscountHunter,v3_ppo,DiscountHunter,20660733,2000,67,0.0335,0.2447735259845916,1.9464171952218297,4911,2.4555,1.365632537,2.134,1.0447917471426778,4911,0,0.0,2184,0.4447159437996335,0,0.0,1921,0.39116269598859704,0,0.0,806,0.16412136021176948,0,0,0,0,0,0,643,643,46908,0.013707683124413747,0.18911585459651395,"{""decisions"":4911,""decisions_with_oov_tokens"":643,""fallback_decisions"":0,""mean_selected_policy_score"":0.18911585459651395,""min_selected_policy_score"":0.17653661966323853,""oov_token_occurrences"":643,""oov_token_rate"":0.013707683124413747,""oov_tokens"":{""primed_credit_bucket=1"":516,""primed_credit_bucket=2"":127},""production_history_recomputed"":true,""scalar_token_occurrences"":46908,""serving_equivalent"":true}"
clickworker_pre_recruitment_20260721,v3_ppo__WindowShopper,v3_ppo,WindowShopper,20760736,2000,1,0.0005,-0.4078715083082541,0.8650954090786811,3829,1.9145,1.0577093762287828,1.569,0.6078023624961719,3829,0,0.0,1839,0.4802820579785845,0,0.0,1414,0.3692870201096892,0,0.0,576,0.1504309219117263,0,0,0,0,0,0,294,294,35662,0.008244069317480791,0.18673872488087978,"{""decisions"":3829,""decisions_with_oov_tokens"":294,""fallback_decisions"":0,""mean_selected_policy_score"":0.18673872488087978,""min_selected_policy_score"":0.17653661966323853,""oov_token_occurrences"":294,""oov_token_rate"":0.008244069317480791,""oov_tokens"":{""primed_credit_bucket=1"":262,""primed_credit_bucket=2"":32},""production_history_recomputed"":true,""scalar_token_occurrences"":35662,""serving_equivalent"":true}"
