axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,5,0.0,0.0,0.0
fatigue_rate,0.0,6,0.0,0.0,0.0
fatigue_rate,0.0,7,0.0,0.0,0.0
fatigue_rate,0.0,8,0.0,0.0,0.0
fatigue_rate,0.0,9,0.0,0.0,0.0
fatigue_rate,0.1,5,0.0,-0.06210091494822578,0.09924005708361072
fatigue_rate,0.1,6,0.0,-0.24316274807957372,0.060353342127342446
fatigue_rate,0.1,7,0.0,-0.02899727723097767,0.10381376567686473
fatigue_rate,0.1,8,0.0,-0.14465141535936676,0.1794348856340846
fatigue_rate,0.1,9,0.0,-0.2575327997842527,0.10647633029268111
fatigue_rate,0.2,5,0.0,0.011056930226798212,0.09243604235767056
fatigue_rate,0.2,6,0.0,-0.12042379526314484,0.16048667500974678
fatigue_rate,0.2,7,0.0,0.023044497152176047,0.15502083187876858
fatigue_rate,0.2,8,0.0,-0.15364159307264047,0.1500064647616367
fatigue_rate,0.2,9,0.0,-0.217185708853727,0.1623608679274825
fatigue_rate,0.4,5,0.0,0.13614530368372002,0.07593491782820738
fatigue_rate,0.4,6,0.0,-0.15879032795877346,0.007056186397434883
fatigue_rate,0.4,7,0.0,0.11332324702302421,0.08483034478443108
fatigue_rate,0.4,8,0.0,-0.1209706423942174,0.16329933142657838
fatigue_rate,0.4,9,0.0,-0.18247631630559435,0.09730161608405574
fatigue_rate,0.6,5,0.0,0.036393984786417755,-0.014992252510658721
fatigue_rate,0.6,6,0.0,-0.15687734489250205,-0.06007745514323437
fatigue_rate,0.6,7,0.0,0.12760142729492463,0.09302012653359804
fatigue_rate,0.6,8,0.0,-0.123668408150166,0.09589302602541183
fatigue_rate,0.6,9,0.0,-0.18822913792396279,-0.008994983625385533
delayed_reward_strength,0.0,5,0.0,0.0,0.0
delayed_reward_strength,0.0,6,0.0,0.0,0.0
delayed_reward_strength,0.0,7,0.0,0.0,0.0
delayed_reward_strength,0.0,8,0.0,0.0,0.0
delayed_reward_strength,0.0,9,0.0,0.0,0.0
delayed_reward_strength,0.25,5,0.0,0.36161134166748554,0.08084052289411581
delayed_reward_strength,0.25,6,0.0,0.30412540524116993,0.08480977732415096
delayed_reward_strength,0.25,7,0.0,0.41032521870388683,0.030752715994385893
delayed_reward_strength,0.25,8,0.0,0.38969901758646963,-0.09060774847803588
delayed_reward_strength,0.25,9,0.0,0.2538607590577524,-0.04680585839696416
delayed_reward_strength,0.5,5,0.0,0.20599945639127548,0.1784426083322861
delayed_reward_strength,0.5,6,0.0,0.17279643785902632,0.09323076874823522
delayed_reward_strength,0.5,7,0.0,0.3309450804157512,0.029537126158833305
delayed_reward_strength,0.5,8,0.0,-0.18175182520732247,-0.1324526365725991
delayed_reward_strength,0.5,9,0.0,0.07533192266730837,-0.09600633819646509
delayed_reward_strength,1.0,5,0.0,-0.09624944526794854,0.14483603713932003
delayed_reward_strength,1.0,6,0.0,0.044900293342979625,0.10499333430409963
delayed_reward_strength,1.0,7,0.0,0.22141540154236727,-0.05010951273412845
delayed_reward_strength,1.0,8,0.0,0.15259005242114854,-0.1441767286486415
delayed_reward_strength,1.0,9,0.0,0.037129915890276255,-0.06912110276131234
delayed_reward_strength,2.0,5,0.0,-0.09624944526794854,0.14656658782125276
delayed_reward_strength,2.0,6,0.0,0.044900293342979625,0.10499333430409963
delayed_reward_strength,2.0,7,0.0,0.22141540154236727,-0.04642358156670823
delayed_reward_strength,2.0,8,0.0,0.15259005242114854,-0.142372272612161
delayed_reward_strength,2.0,9,0.0,0.033558916435778574,-0.08068390580140483
transition_coupling_strength,0.0,5,0.0,0.0,0.0
transition_coupling_strength,0.0,6,0.0,0.0,0.0
transition_coupling_strength,0.0,7,0.0,0.0,0.0
transition_coupling_strength,0.0,8,0.0,0.0,0.0
transition_coupling_strength,0.0,9,0.0,0.0,0.0
transition_coupling_strength,0.5,5,0.0,0.3832833602729542,-0.33718252888167277
transition_coupling_strength,0.5,6,0.0,0.24874744506107516,-0.22437760333637935
transition_coupling_strength,0.5,7,0.0,0.3651081287660416,-0.12348473480308342
transition_coupling_strength,0.5,8,0.0,0.06412639948199739,-0.25584775740611554
transition_coupling_strength,0.5,9,0.0,0.10894499455780982,-0.38208133296895586
transition_coupling_strength,1.0,5,0.0,0.46356003955298464,-0.2689647268336548
transition_coupling_strength,1.0,6,0.0,0.35083938121685576,-0.3814215112831867
transition_coupling_strength,1.0,7,0.0,0.5393630638347537,-0.5224803407546508
transition_coupling_strength,1.0,8,0.0,0.534843905715982,0.03610625511711718
transition_coupling_strength,1.0,9,0.0,0.46145107592476586,-0.21166161944640383
transition_coupling_strength,2.0,5,0.0,0.5617808817579526,-0.31085511410584865
transition_coupling_strength,2.0,6,0.0,0.4230887083919226,-0.19434541334119992
transition_coupling_strength,2.0,7,0.0,0.6521056583390767,-0.6126233740591684
transition_coupling_strength,2.0,8,0.0,0.2678641921409757,-0.2036938520800755
transition_coupling_strength,2.0,9,0.0,0.3545315165230769,-0.41958217088781025
transition_coupling_strength,3.0,5,0.0,0.5721240755794481,0.0451475639630885
transition_coupling_strength,3.0,6,0.0,0.014713468799399498,-0.4909125751887673
transition_coupling_strength,3.0,7,0.0,0.5428630286302503,0.022899592531573587
transition_coupling_strength,3.0,8,0.0,0.16681737622929593,-0.316768062240423
transition_coupling_strength,3.0,9,0.0,0.13069707003873843,-0.3419372522634512
t_max,20,5,20,0.0,0.0
t_max,20,6,20,0.0,0.0
t_max,20,7,20,0.0,0.0
t_max,20,8,20,0.0,0.0
t_max,20,9,20,0.0,0.0
