axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,10,0.0,0.0,0.0
fatigue_rate,0.0,11,0.0,0.0,0.0
fatigue_rate,0.0,12,0.0,0.0,0.0
fatigue_rate,0.0,13,0.0,0.0,0.0
fatigue_rate,0.0,14,0.0,0.0,0.0
fatigue_rate,0.1,10,0.0,-0.048022146191301296,0.12257214387743609
fatigue_rate,0.1,11,0.0,-0.060417460254775346,0.19644563410336002
fatigue_rate,0.1,12,0.0,-0.08321996071057369,0.012396056649147669
fatigue_rate,0.1,13,0.0,-0.021309568272343427,0.1699627169569351
fatigue_rate,0.1,14,0.0,-0.04234182516483043,-0.0004684452826484442
fatigue_rate,0.2,10,0.0,-0.08073905119296043,0.10552251074905361
fatigue_rate,0.2,11,0.0,-0.09955862510894131,0.19168685182685263
fatigue_rate,0.2,12,0.0,-0.2478767015326846,-0.025189767652853634
fatigue_rate,0.2,13,0.0,-0.004427301559675634,0.11712576288595544
fatigue_rate,0.2,14,0.0,-0.06495631666228441,0.09806108003155378
fatigue_rate,0.4,10,0.0,0.033220583765534606,0.033529035966686216
fatigue_rate,0.4,11,0.0,-0.004753242042514705,0.1867377964345851
fatigue_rate,0.4,12,0.0,0.07214889001419333,0.08021373663160691
fatigue_rate,0.4,13,0.0,0.14962205295866116,0.14234050512223329
fatigue_rate,0.4,14,0.0,0.012036613990070721,0.11579756780795636
fatigue_rate,0.6,10,0.0,0.08682902686843463,-0.023547708880348295
fatigue_rate,0.6,11,0.0,-0.03245299999849771,0.05601117319715887
fatigue_rate,0.6,12,0.0,0.10201249417533531,-0.07465770395532956
fatigue_rate,0.6,13,0.0,0.1286712873786502,0.0684622876452059
fatigue_rate,0.6,14,0.0,0.011258606827946993,-0.006280191634900456
delayed_reward_strength,0.0,10,0.0,0.0,0.0
delayed_reward_strength,0.0,11,0.0,0.0,0.0
delayed_reward_strength,0.0,12,0.0,0.0,0.0
delayed_reward_strength,0.0,13,0.0,0.0,0.0
delayed_reward_strength,0.0,14,0.0,0.0,0.0
delayed_reward_strength,0.25,10,0.0,0.28861976876463213,-0.16641675671148315
delayed_reward_strength,0.25,11,0.0,0.3984662334962932,0.0013122728565384545
delayed_reward_strength,0.25,12,0.0,0.3527671644734056,-0.11681895222187166
delayed_reward_strength,0.25,13,0.0,0.34152716532124017,0.11528031380821124
delayed_reward_strength,0.25,14,0.0,0.38260749720740694,0.0868484951894708
delayed_reward_strength,0.5,10,0.0,0.18625889599955237,-0.014662507659164659
delayed_reward_strength,0.5,11,0.0,0.27256996207197326,0.1151596516679636
delayed_reward_strength,0.5,12,0.0,0.18390427973491952,-0.1333841288088098
delayed_reward_strength,0.5,13,0.0,0.2429832392531177,0.08831459322885205
delayed_reward_strength,0.5,14,0.0,0.2375755743569461,0.07276818441571509
delayed_reward_strength,1.0,10,0.0,0.09603034994831283,0.001247198162919405
delayed_reward_strength,1.0,11,0.0,0.21627772083513852,0.07927396063126446
delayed_reward_strength,1.0,12,0.0,0.12132631629268453,-0.1252176565137384
delayed_reward_strength,1.0,13,0.0,-0.017319801485122355,0.07025408075228978
delayed_reward_strength,1.0,14,0.0,0.16943745076068328,0.09081185288842941
delayed_reward_strength,2.0,10,0.0,0.09603034994831283,0.004927893375352044
delayed_reward_strength,2.0,11,0.0,0.21627772083513852,0.08287079570440303
delayed_reward_strength,2.0,12,0.0,0.13666132858803137,-0.10815773063359768
delayed_reward_strength,2.0,13,0.0,-0.017319801485122355,0.07191676978518968
delayed_reward_strength,2.0,14,0.0,0.16943745076068328,0.09081185288842941
transition_coupling_strength,0.0,10,0.0,0.0,0.0
transition_coupling_strength,0.0,11,0.0,0.0,0.0
transition_coupling_strength,0.0,12,0.0,0.0,0.0
transition_coupling_strength,0.0,13,0.0,0.0,0.0
transition_coupling_strength,0.0,14,0.0,0.0,0.0
transition_coupling_strength,0.5,10,0.0,0.10311776740350531,-0.32808170663389746
transition_coupling_strength,0.5,11,0.0,0.24754511956707637,-0.3255607202423674
transition_coupling_strength,0.5,12,0.0,0.1736613043673223,-0.4866739026495104
transition_coupling_strength,0.5,13,0.0,0.3637367798794662,-0.2149712319437751
transition_coupling_strength,0.5,14,0.0,0.1895945536650232,-0.3715934409204069
transition_coupling_strength,1.0,10,0.0,0.3036468342959684,-0.787610253390097
transition_coupling_strength,1.0,11,0.0,0.4240631138102695,-0.6898095120395369
transition_coupling_strength,1.0,12,0.0,0.2921682294179224,-0.8873818637251469
transition_coupling_strength,1.0,13,0.0,0.5533862799542208,-0.589048104438739
transition_coupling_strength,1.0,14,0.0,0.5987243118948644,-0.5570097230854343
transition_coupling_strength,2.0,10,0.0,0.24703431710619528,-0.7727341059633617
transition_coupling_strength,2.0,11,0.0,0.4285535165174488,-0.7230191998129785
transition_coupling_strength,2.0,12,0.0,0.43974785606942146,-0.7084512120736868
transition_coupling_strength,2.0,13,0.0,0.2719987270590676,-0.9586224650211905
transition_coupling_strength,2.0,14,0.0,0.06729067327834493,-0.8320973767584656
transition_coupling_strength,3.0,10,0.0,0.36066362515961137,-0.6662405207789457
transition_coupling_strength,3.0,11,0.0,0.1315338647069315,-1.070182689506181
transition_coupling_strength,3.0,12,0.0,0.3186963069632933,-0.7358868445718301
transition_coupling_strength,3.0,13,0.0,0.29952829576587225,-0.8427050903980344
transition_coupling_strength,3.0,14,0.0,0.13841842289343642,-0.40338567442471995
t_max,20,10,20,0.0,0.0
t_max,20,11,20,0.0,0.0
t_max,20,12,20,0.0,0.0
t_max,20,13,20,0.0,0.0
t_max,20,14,20,0.0,0.0
t_max,30,10,20,-0.048869069745362426,-0.025154952033194622
t_max,30,11,20,0.031830890490121,-0.009374735432489567
t_max,30,12,20,0.027520009265641132,0.0
t_max,30,13,20,-0.0044959999999998335,0.06817160718379256
t_max,30,14,20,-0.011083277042256201,-0.0036452770422565894
t_max,40,10,20,-0.048869069745362426,-0.025154952033194622
t_max,40,11,20,0.031830890490121,-0.009374735432489567
t_max,40,12,20,0.027520009265641132,0.0
t_max,40,13,20,-0.0044959999999998335,0.06817160718379256
t_max,40,14,20,-0.011083277042256201,-0.0036452770422565894
t_max,60,10,20,-0.048869069745362426,-0.025154952033194622
t_max,60,11,20,0.031830890490121,-0.009374735432489567
