arm,axis,value,n_seeds,df,mean,ci95_halfwidth,t,p_raw,p_bh,prereg_significant,bh_significant
ppo,delayed_reward_strength,0.25,5,4,0.3527975658525956,0.05274426190462711,18.568200737697463,4.951316934142504e-05,0.0007351820903306256,True,True
ppo,delayed_reward_strength,0.5,5,4,0.22465839028330178,0.04781490227163569,13.043040177798344,0.00019943699221358833,0.0015954959377087066,True,True
ppo,delayed_reward_strength,1.0,5,4,0.11715040727033936,0.10947773128149639,2.970554164538373,0.041121703878362934,0.07049434950576502,True,False
ppo,delayed_reward_strength,2.0,5,4,0.12021740972940873,0.11003276937651946,3.03294674213711,0.03866861725169286,0.07049434950576502,True,False
ppo,transition_coupling_strength,0.5,5,4,0.21553110497647868,0.1210863747787498,4.941219427106894,0.007809978662051083,0.018743948788922597,True,True
ppo,transition_coupling_strength,1.0,5,4,0.4343977538746492,0.1740192592564015,6.929624743312233,0.0022766774592451714,0.008314990096667283,True,True
ppo,transition_coupling_strength,2.0,5,4,0.2909250180060956,0.18969117017289655,4.257487837988539,0.013079753817647317,0.026159507635294635,True,True
ppo,transition_coupling_strength,3.0,5,4,0.249768103097829,0.13299195323446525,5.213520347183592,0.006456036974752135,0.018743948788922597,True,True
ppo,fatigue_rate,0.1,5,4,-0.05106219211876484,0.02839230881809202,-4.992501533773356,0.007530299052529922,0.018743948788922597,True,True
ppo,fatigue_rate,0.2,5,4,-0.09951159921130928,0.11207565941481852,-2.4648010179279822,0.0693327761011495,0.09788156626044635,False,False
ppo,fatigue_rate,0.4,5,4,0.052454979737189024,0.07629122053754486,1.9086734059887773,0.12894289756138633,0.16287523902490905,False,False
ppo,fatigue_rate,0.6,5,4,0.05926368305037388,0.0835598176893124,1.9688408698967288,0.1203291846324631,0.16043891284328413,False,False
fqi,delayed_reward_strength,0.25,5,4,-0.015958925415826865,0.15318603621750762,-0.28920375543519744,0.7867955005143453,0.8210040005367082,False,False
fqi,delayed_reward_strength,0.5,5,4,0.025639158568911257,0.12580503693435377,0.5657508309817282,0.6017914463656835,0.6564997596716547,False,False
fqi,delayed_reward_strength,1.0,5,4,0.023273887184232935,0.11179982389008637,0.5778927781402313,0.5943091334905178,0.6564997596716547,False,False
fqi,delayed_reward_strength,2.0,5,4,0.028473916223955297,0.10378480304501224,0.7616104585506426,0.48872244610253424,0.5864669353230412,False,False
fqi,transition_coupling_strength,0.5,5,4,-0.34537620047799145,0.12155836306730419,-7.887275777118333,0.0013972630149224122,0.006706862471627578,True,True
fqi,transition_coupling_strength,1.0,5,4,-0.7021718913357908,0.17070066449787294,-11.418989938216932,0.0003355491475030691,0.0020132948850184146,True,True
fqi,transition_coupling_strength,2.0,5,4,-0.7989848719259366,0.12605123161565332,-17.595877295584994,6.12651741942188e-05,0.0007351820903306256,True,True
fqi,transition_coupling_strength,3.0,5,4,-0.7436801639359423,0.30299617748463553,-6.813472540229855,0.0024252054448612908,0.008314990096667283,True,True
fqi,fatigue_rate,0.1,5,4,0.1001816212608461,0.11185977724910892,2.4861857180421314,0.06776056389055354,0.09788156626044635,False,False
fqi,fatigue_rate,0.2,5,4,0.09744128756811236,0.09690938263416804,2.7912365855244734,0.04924983711074675,0.0787997393771948,True,False
fqi,fatigue_rate,0.4,5,4,0.11172372839261357,0.07262406256663502,4.270555227247536,0.012944419633505656,0.026159507635294635,True,True
fqi,fatigue_rate,0.6,5,4,0.003997571274357292,0.07321523473856914,0.15157033774788822,0.8868630655481651,0.8868630655481651,False,False
