axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,10,0.0,0.0,0.0
fatigue_rate,0.0,11,0.0,0.0,0.0
fatigue_rate,0.0,12,0.0,0.0,0.0
fatigue_rate,0.0,13,0.0,0.0,0.0
fatigue_rate,0.0,14,0.0,0.0,0.0
fatigue_rate,0.0,15,0.0,0.0,0.0
fatigue_rate,0.0,16,0.0,0.0,0.0
fatigue_rate,0.0,17,0.0,0.0,0.0
fatigue_rate,0.0,18,0.0,0.0,0.0
fatigue_rate,0.0,19,0.0,0.0,0.0
fatigue_rate,0.0,20,0.0,0.0,0.0
fatigue_rate,0.0,21,0.0,0.0,0.0
fatigue_rate,0.0,22,0.0,0.0,0.0
fatigue_rate,0.0,23,0.0,0.0,0.0
fatigue_rate,0.0,24,0.0,0.0,0.0
fatigue_rate,0.1,10,0.0,-0.048022146191301296,0.12257214387743609
fatigue_rate,0.1,11,0.0,-0.060417460254775346,0.19644563410336002
fatigue_rate,0.1,12,0.0,-0.08321996071057369,0.012396056649147669
fatigue_rate,0.1,13,0.0,-0.021309568272343427,0.1699627169569351
fatigue_rate,0.1,14,0.0,-0.04234182516483043,-0.0004684452826484442
fatigue_rate,0.1,15,0.0,-0.05945469055439401,0.11051288789173697
fatigue_rate,0.1,16,0.0,-0.18574181016621716,0.16765194739528622
fatigue_rate,0.1,17,0.0,-0.04296636258577391,0.08308737164944557
fatigue_rate,0.1,18,0.0,-0.044215039211968676,0.02318222073841225
fatigue_rate,0.1,19,0.0,-0.09560635166681997,0.04544942234151894
fatigue_rate,0.1,20,0.0,-0.04341160640611785,0.053409435808801975
fatigue_rate,0.1,21,0.0,0.2833559015810734,0.07918518472290259
fatigue_rate,0.1,22,0.0,0.12503424890977954,0.2743204495062941
fatigue_rate,0.1,23,0.0,-0.09517715157135065,0.14450500183906723
fatigue_rate,0.1,24,0.0,-0.11801244410333278,0.18727427200801094
fatigue_rate,0.2,10,0.0,-0.08073905119296043,0.10552251074905361
fatigue_rate,0.2,11,0.0,-0.09955862510894131,0.19168685182685263
fatigue_rate,0.2,12,0.0,-0.2478767015326846,-0.025189767652853634
fatigue_rate,0.2,13,0.0,-0.004427301559675634,0.11712576288595544
fatigue_rate,0.2,14,0.0,-0.06495631666228441,0.09806108003155378
fatigue_rate,0.2,15,0.0,0.0064921079866491205,0.17498632095877165
fatigue_rate,0.2,16,0.0,-0.03476577676525694,0.21606607073737094
fatigue_rate,0.2,17,0.0,-0.11119379946417784,0.023216174387595823
fatigue_rate,0.2,18,0.0,0.002109144956848441,0.03486979505059984
fatigue_rate,0.2,19,0.0,0.16870830422982386,0.1772068756626437
fatigue_rate,0.2,20,0.0,0.05849728061593762,0.03738122712680414
fatigue_rate,0.2,21,0.0,0.3929662861942458,0.12108742018315777
fatigue_rate,0.2,22,0.0,0.11487762245406885,0.31729085086183084
fatigue_rate,0.2,23,0.0,0.01945597461194648,0.2980525159902814
fatigue_rate,0.2,24,0.0,-0.041075327877918566,0.05776939834050343
fatigue_rate,0.4,10,0.0,0.033220583765534606,0.033529035966686216
fatigue_rate,0.4,11,0.0,-0.004753242042514705,0.1867377964345851
fatigue_rate,0.4,12,0.0,0.07214889001419333,0.08021373663160691
fatigue_rate,0.4,13,0.0,0.14962205295866116,0.14234050512223329
fatigue_rate,0.4,14,0.0,0.012036613990070721,0.11579756780795636
fatigue_rate,0.4,15,0.0,0.2079910187738443,0.25530152359889957
fatigue_rate,0.4,16,0.0,0.1501930240302185,0.30540024674223054
fatigue_rate,0.4,17,0.0,-0.016343940611801777,-0.057450337244147054
fatigue_rate,0.4,18,0.0,0.04836188894189086,-0.09177202789119776
fatigue_rate,0.4,19,0.0,0.2494407013789619,0.1994323773566784
fatigue_rate,0.4,20,0.0,0.1326410647298868,0.05548963865903733
fatigue_rate,0.4,21,0.0,0.46908446377951574,0.17047544190903663
fatigue_rate,0.4,22,0.0,0.11910007832691782,0.20396264631599248
fatigue_rate,0.4,23,0.0,0.037136293414966826,0.1495174586211634
fatigue_rate,0.4,24,0.0,0.0459951261495366,-0.01206301031684831
fatigue_rate,0.6,10,0.0,0.08682902686843463,-0.023547708880348295
fatigue_rate,0.6,11,0.0,-0.03245299999849771,0.05601117319715887
fatigue_rate,0.6,12,0.0,0.10201249417533531,-0.07465770395532956
fatigue_rate,0.6,13,0.0,0.1286712873786502,0.0684622876452059
fatigue_rate,0.6,14,0.0,0.011258606827946993,-0.006280191634900456
fatigue_rate,0.6,15,0.0,0.21465473379925415,0.2630216628346562
fatigue_rate,0.6,16,0.0,0.12935630799025044,0.20461752572151415
fatigue_rate,0.6,17,0.0,-0.02282190622538116,-0.15761517390942137
fatigue_rate,0.6,18,0.0,0.11993495448645497,-0.08210501798816539
fatigue_rate,0.6,19,0.0,0.2821498728075489,0.16335800558894897
fatigue_rate,0.6,20,0.0,0.11905250864702288,-0.0395933082783807
fatigue_rate,0.6,21,0.0,0.4594655740898741,0.09080400914927345
fatigue_rate,0.6,22,0.0,0.15487752043791403,0.0763732838694492
fatigue_rate,0.6,23,0.0,-0.03403776779667056,-0.01573391727699347
fatigue_rate,0.6,24,0.0,0.028845176594155753,-0.10079373832787553
delayed_reward_strength,0.0,10,0.0,0.0,0.0
delayed_reward_strength,0.0,11,0.0,0.0,0.0
delayed_reward_strength,0.0,12,0.0,0.0,0.0
delayed_reward_strength,0.0,13,0.0,0.0,0.0
delayed_reward_strength,0.0,14,0.0,0.0,0.0
delayed_reward_strength,0.0,15,0.0,0.0,0.0
delayed_reward_strength,0.0,16,0.0,0.0,0.0
delayed_reward_strength,0.0,17,0.0,0.0,0.0
delayed_reward_strength,0.0,18,0.0,0.0,0.0
delayed_reward_strength,0.0,19,0.0,0.0,0.0
delayed_reward_strength,0.0,20,0.0,0.0,0.0
delayed_reward_strength,0.0,21,0.0,0.0,0.0
delayed_reward_strength,0.0,22,0.0,0.0,0.0
delayed_reward_strength,0.0,23,0.0,0.0,0.0
delayed_reward_strength,0.0,24,0.0,0.0,0.0
delayed_reward_strength,0.25,10,0.0,0.28861976876463213,-0.16641675671148315
delayed_reward_strength,0.25,11,0.0,0.3984662334962932,0.0013122728565384545
delayed_reward_strength,0.25,12,0.0,0.3527671644734056,-0.11681895222187166
