axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,10,0.0,0.0,0.0
fatigue_rate,0.0,11,0.0,0.0,0.0
fatigue_rate,0.0,12,0.0,0.0,0.0
fatigue_rate,0.0,13,0.0,0.0,0.0
fatigue_rate,0.0,14,0.0,0.0,0.0
fatigue_rate,0.0,15,0.0,0.0,0.0
fatigue_rate,0.0,16,0.0,0.0,0.0
fatigue_rate,0.0,17,0.0,0.0,0.0
fatigue_rate,0.0,18,0.0,0.0,0.0
fatigue_rate,0.0,19,0.0,0.0,0.0
fatigue_rate,0.0,20,0.0,0.0,0.0
fatigue_rate,0.0,21,0.0,0.0,0.0
fatigue_rate,0.0,22,0.0,0.0,0.0
fatigue_rate,0.0,23,0.0,0.0,0.0
fatigue_rate,0.0,24,0.0,0.0,0.0
fatigue_rate,0.1,10,0.0,-0.07070474655294223,0.07717892283196703
fatigue_rate,0.1,11,0.0,-0.04179901512548012,0.11876317039219053
fatigue_rate,0.1,12,0.0,-0.15220013392486464,-0.030542263349076393
fatigue_rate,0.1,13,0.0,-0.08402010583750874,0.03818748803752192
fatigue_rate,0.1,14,0.0,-0.12168669679547173,-0.002196935493345764
fatigue_rate,0.1,15,0.0,-0.09493153989744196,0.014563764787822953
fatigue_rate,0.1,16,0.0,-0.03481521720345082,0.06584099273856281
fatigue_rate,0.1,17,0.0,0.01244738333400286,0.05865049337032757
fatigue_rate,0.1,18,0.0,-0.16012607599728046,0.0721224456070062
fatigue_rate,0.1,19,0.0,-0.12206235166681956,-0.010396082991027011
fatigue_rate,0.1,20,0.0,0.008695500380863086,0.169416456213477
fatigue_rate,0.1,21,0.0,-0.0035749842601391357,0.04211776735658379
fatigue_rate,0.1,22,0.0,0.022333193934752416,0.16420549807505758
fatigue_rate,0.1,23,0.0,-0.04978375737308305,0.07183208182784662
fatigue_rate,0.1,24,0.0,-0.17357304997612122,0.06569468062778516
fatigue_rate,0.2,10,0.0,0.03461261259616655,0.03871216407914879
fatigue_rate,0.2,11,0.0,-0.13053184792821404,0.00030426682971418373
fatigue_rate,0.2,12,0.0,-0.13769232573951884,-0.16356609583772985
fatigue_rate,0.2,13,0.0,-0.06308339478300518,0.0004515938908526973
fatigue_rate,0.2,14,0.0,0.0708833650930496,0.007035344400313948
fatigue_rate,0.2,15,0.0,-0.037760700696501726,-0.06058403523513056
fatigue_rate,0.2,16,0.0,-0.03039428391494825,0.11309410318580593
fatigue_rate,0.2,17,0.0,0.04027123335957716,0.002909951939425781
fatigue_rate,0.2,18,0.0,-0.04989916385038695,0.055007078775219265
fatigue_rate,0.2,19,0.0,-0.09725340687571915,0.1884890767985452
fatigue_rate,0.2,20,0.0,0.09813289504454614,0.11587934674424027
fatigue_rate,0.2,21,0.0,0.12160357699563584,0.04508219346927689
fatigue_rate,0.2,22,0.0,0.07864224817404653,0.12217238458982815
fatigue_rate,0.2,23,0.0,0.07313531567534204,0.12298408013496087
fatigue_rate,0.2,24,0.0,-0.1349392445087363,0.012768662849589774
fatigue_rate,0.4,10,0.0,0.1254478053299346,0.0849170716693799
fatigue_rate,0.4,11,0.0,-0.06263446486178759,-0.02187860518930984
fatigue_rate,0.4,12,0.0,0.02470870595988317,-0.040228031981839774
fatigue_rate,0.4,13,0.0,0.08055813177112259,-0.020346313778570435
fatigue_rate,0.4,14,0.0,0.012036613990070721,0.03542119127570387
fatigue_rate,0.4,15,0.0,0.2628014931967044,-0.014146731315605066
fatigue_rate,0.4,16,0.0,0.1485971806071822,0.17332547676366783
fatigue_rate,0.4,17,0.0,-0.004453951552379598,-0.030143514791415194
fatigue_rate,0.4,18,0.0,-0.12421811105810932,-0.1223666729666284
fatigue_rate,0.4,19,0.0,0.18318109841868035,0.14299510465740783
fatigue_rate,0.4,20,0.0,0.1844336680035652,0.12037575497119879
fatigue_rate,0.4,21,0.0,0.10873571918142244,-0.05202909417965351
fatigue_rate,0.4,22,0.0,0.10832478834592796,0.029967680854711132
fatigue_rate,0.4,23,0.0,-0.02065223860548726,0.04928117783261965
fatigue_rate,0.4,24,0.0,-0.008983741831506409,-0.05588196376643251
fatigue_rate,0.6,10,0.0,0.08844102686843458,0.053629417118547185
fatigue_rate,0.6,11,0.0,-0.10379656393496628,-0.18994910846519153
fatigue_rate,0.6,12,0.0,0.05237068584674809,-0.09120253227459285
fatigue_rate,0.6,13,0.0,0.033513287378650114,-0.14221614621546574
fatigue_rate,0.6,14,0.0,0.011258606827946993,-0.054437185865358284
fatigue_rate,0.6,15,0.0,0.21465473379925415,-0.03210131453058285
fatigue_rate,0.6,16,0.0,0.1559624086686131,0.030698256019715764
fatigue_rate,0.6,17,0.0,-0.010931917165958982,-0.08067427199149069
fatigue_rate,0.6,18,0.0,-0.05264504551354521,-0.0840321855899967
fatigue_rate,0.6,19,0.0,0.21134187280754912,0.1195743364518862
fatigue_rate,0.6,20,0.0,0.12957650864702308,0.0017480034201384775
fatigue_rate,0.6,21,0.0,0.06407657106301468,-0.19559039533126787
fatigue_rate,0.6,22,0.0,0.10283552043791411,-0.032023632423045734
fatigue_rate,0.6,23,0.0,-0.10124976779667061,-0.09556783459462215
fatigue_rate,0.6,24,0.0,0.07395916921038226,-0.18230976432305213
delayed_reward_strength,0.0,10,0.0,0.0,0.0
delayed_reward_strength,0.0,11,0.0,0.0,0.0
delayed_reward_strength,0.0,12,0.0,0.0,0.0
delayed_reward_strength,0.0,13,0.0,0.0,0.0
delayed_reward_strength,0.0,14,0.0,0.0,0.0
delayed_reward_strength,0.0,15,0.0,0.0,0.0
delayed_reward_strength,0.0,16,0.0,0.0,0.0
delayed_reward_strength,0.0,17,0.0,0.0,0.0
delayed_reward_strength,0.0,18,0.0,0.0,0.0
delayed_reward_strength,0.0,19,0.0,0.0,0.0
delayed_reward_strength,0.0,20,0.0,0.0,0.0
delayed_reward_strength,0.0,21,0.0,0.0,0.0
delayed_reward_strength,0.0,22,0.0,0.0,0.0
delayed_reward_strength,0.0,23,0.0,0.0,0.0
delayed_reward_strength,0.0,24,0.0,0.0,0.0
delayed_reward_strength,0.25,10,0.0,-0.3374450322304128,-0.11719655643153981
delayed_reward_strength,0.25,11,0.0,-0.35683841626866997,-0.10850259376220217
