axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,5,0.0,0.0,0.0
fatigue_rate,0.0,6,0.0,0.0,0.0
fatigue_rate,0.0,7,0.0,0.0,0.0
fatigue_rate,0.0,8,0.0,0.0,0.0
fatigue_rate,0.0,9,0.0,0.0,0.0
fatigue_rate,0.1,5,0.0,0.03246608398449358,0.09924005708361072
fatigue_rate,0.1,6,0.0,-0.04071807080027767,0.060353342127342446
fatigue_rate,0.1,7,0.0,-0.019327478110402252,0.10381376567686473
fatigue_rate,0.1,8,0.0,0.024439064777186603,0.1794348856340846
fatigue_rate,0.1,9,0.0,0.05597509063868766,0.10647633029268111
fatigue_rate,0.2,5,0.0,-0.08949959054557366,0.09243604235767056
fatigue_rate,0.2,6,0.0,0.12185774674638883,0.16048667500974678
fatigue_rate,0.2,7,0.0,0.032859055415467964,0.15502083187876858
fatigue_rate,0.2,8,0.0,-0.08430474102961827,0.1500064647616367
fatigue_rate,0.2,9,0.0,0.007380350788537826,0.1623608679274825
fatigue_rate,0.4,5,0.0,0.061874597765495754,0.07593491782820738
fatigue_rate,0.4,6,0.0,-0.03853591052873406,0.007056186397434883
fatigue_rate,0.4,7,0.0,0.05520187591887182,0.08483034478443108
fatigue_rate,0.4,8,0.0,-0.025499221617276913,0.16329933142657838
fatigue_rate,0.4,9,0.0,-0.03304491057792469,0.09730161608405574
fatigue_rate,0.6,5,0.0,-0.0031121371468513237,-0.014992252510658721
fatigue_rate,0.6,6,0.0,-0.04102573217902572,-0.06007745514323437
fatigue_rate,0.6,7,0.0,0.039360346044160055,0.09302012653359804
fatigue_rate,0.6,8,0.0,-0.08577416798700876,0.09589302602541183
fatigue_rate,0.6,9,0.0,-0.03492414435384039,-0.008994983625385533
delayed_reward_strength,0.0,5,0.0,0.0,0.0
delayed_reward_strength,0.0,6,0.0,0.0,0.0
delayed_reward_strength,0.0,7,0.0,0.0,0.0
delayed_reward_strength,0.0,8,0.0,0.0,0.0
delayed_reward_strength,0.0,9,0.0,0.0,0.0
delayed_reward_strength,0.25,5,0.0,0.33710254986885,0.08084052289411581
delayed_reward_strength,0.25,6,0.0,0.2534189587280449,0.08480977732415096
delayed_reward_strength,0.25,7,0.0,0.20812269821920437,0.030752715994385893
delayed_reward_strength,0.25,8,0.0,0.43785430698440186,-0.09060774847803588
delayed_reward_strength,0.25,9,0.0,0.24330092281546212,-0.04680585839696416
delayed_reward_strength,0.5,5,0.0,0.2793426405083972,0.1784426083322861
delayed_reward_strength,0.5,6,0.0,0.2323827146673052,0.09323076874823522
delayed_reward_strength,0.5,7,0.0,0.26827801414634567,0.029537126158833305
delayed_reward_strength,0.5,8,0.0,0.31890259260713916,-0.1324526365725991
delayed_reward_strength,0.5,9,0.0,0.16106786572288945,-0.09600633819646509
delayed_reward_strength,1.0,5,0.0,0.17606173884917298,0.14483603713932003
delayed_reward_strength,1.0,6,0.0,0.20038422640430076,0.10499333430409963
delayed_reward_strength,1.0,7,0.0,0.19249390940822186,-0.05010951273412845
delayed_reward_strength,1.0,8,0.0,0.18950822964277214,-0.1441767286486415
delayed_reward_strength,1.0,9,0.0,0.1184542341705066,-0.06912110276131234
delayed_reward_strength,2.0,5,0.0,0.17606173884917298,0.14656658782125276
delayed_reward_strength,2.0,6,0.0,0.2021803000816813,0.10499333430409963
delayed_reward_strength,2.0,7,0.0,0.1959234015423672,-0.04642358156670823
delayed_reward_strength,2.0,8,0.0,0.16522381598126445,-0.142372272612161
delayed_reward_strength,2.0,9,0.0,0.1206472347160088,-0.08068390580140483
transition_coupling_strength,0.0,5,0.0,0.0,0.0
transition_coupling_strength,0.0,6,0.0,0.0,0.0
transition_coupling_strength,0.0,7,0.0,0.0,0.0
transition_coupling_strength,0.0,8,0.0,0.0,0.0
transition_coupling_strength,0.0,9,0.0,0.0,0.0
transition_coupling_strength,0.5,5,0.0,0.3204765241394627,-0.33718252888167277
transition_coupling_strength,0.5,6,0.0,0.2062204592342436,-0.22437760333637935
transition_coupling_strength,0.5,7,0.0,0.29926365420050316,-0.12348473480308342
transition_coupling_strength,0.5,8,0.0,0.2552389289254624,-0.25584775740611554
transition_coupling_strength,0.5,9,0.0,0.05799964822100323,-0.38208133296895586
transition_coupling_strength,1.0,5,0.0,0.48532022842111155,-0.2689647268336548
transition_coupling_strength,1.0,6,0.0,0.41087434712828275,-0.3814215112831867
transition_coupling_strength,1.0,7,0.0,0.33057699787106976,-0.5224803407546508
transition_coupling_strength,1.0,8,0.0,0.8544227455614661,0.03610625511711718
transition_coupling_strength,1.0,9,0.0,0.4775887062152393,-0.21166161944640383
transition_coupling_strength,2.0,5,0.0,0.5554271775943365,-0.31085511410584865
transition_coupling_strength,2.0,6,0.0,0.5208165337682598,-0.19434541334119992
transition_coupling_strength,2.0,7,0.0,0.4057655738032382,-0.6126233740591684
transition_coupling_strength,2.0,8,0.0,0.26606372406705625,-0.2036938520800755
transition_coupling_strength,2.0,9,0.0,0.42777796161475856,-0.41958217088781025
transition_coupling_strength,3.0,5,0.0,0.6348922579880583,0.0451475639630885
transition_coupling_strength,3.0,6,0.0,0.12617099082929606,-0.4909125751887673
transition_coupling_strength,3.0,7,0.0,0.23808681575165447,0.022899592531573587
transition_coupling_strength,3.0,8,0.0,0.10184445550295362,-0.316768062240423
transition_coupling_strength,3.0,9,0.0,0.09881581346187063,-0.3419372522634512
