axis,value,seed,anchor_value,delta_ppo_minus_bandit,delta_fqi_minus_bandit
fatigue_rate,0.0,10,0.0,0.0,0.0
fatigue_rate,0.0,11,0.0,0.0,0.0
fatigue_rate,0.0,12,0.0,0.0,0.0
fatigue_rate,0.0,13,0.0,0.0,0.0
fatigue_rate,0.0,14,0.0,0.0,0.0
fatigue_rate,0.0,15,0.0,0.0,0.0
fatigue_rate,0.0,16,0.0,0.0,0.0
fatigue_rate,0.0,17,0.0,0.0,0.0
fatigue_rate,0.0,18,0.0,0.0,0.0
fatigue_rate,0.0,19,0.0,0.0,0.0
fatigue_rate,0.0,20,0.0,0.0,0.0
fatigue_rate,0.0,21,0.0,0.0,0.0
fatigue_rate,0.0,22,0.0,0.0,0.0
fatigue_rate,0.0,23,0.0,0.0,0.0
fatigue_rate,0.0,24,0.0,0.0,0.0
fatigue_rate,0.1,10,0.0,-0.1169220659881467,0.12257214387743609
fatigue_rate,0.1,11,0.0,0.05844805010330445,0.19644563410336002
fatigue_rate,0.1,12,0.0,-0.0058163919965315,0.012396056649147669
fatigue_rate,0.1,13,0.0,0.11742277135011836,0.1699627169569351
fatigue_rate,0.1,14,0.0,0.0035686961125103167,-0.0004684452826484442
fatigue_rate,0.1,15,0.0,-0.030877734438665483,0.11051288789173697
fatigue_rate,0.1,16,0.0,0.022671742829825536,0.16765194739528622
fatigue_rate,0.1,17,0.0,0.04612594177548779,0.08308737164944557
fatigue_rate,0.1,18,0.0,0.059967515077226086,0.02318222073841225
fatigue_rate,0.1,19,0.0,-0.04631306990112849,0.04544942234151894
fatigue_rate,0.1,20,0.0,0.06794181906908192,0.053409435808801975
fatigue_rate,0.1,21,0.0,-0.012379275909058407,0.07918518472290259
fatigue_rate,0.1,22,0.0,0.12470411670827897,0.2743204495062941
fatigue_rate,0.1,23,0.0,0.08545963210212104,0.14450500183906723
fatigue_rate,0.1,24,0.0,0.03476896651468819,0.18727427200801094
fatigue_rate,0.2,10,0.0,0.015981401373717175,0.10552251074905361
fatigue_rate,0.2,11,0.0,-0.08302693548085793,0.19168685182685263
fatigue_rate,0.2,12,0.0,-0.0598744976661969,-0.025189767652853634
fatigue_rate,0.2,13,0.0,0.0323273786418119,0.11712576288595544
fatigue_rate,0.2,14,0.0,-0.02970319669811894,0.09806108003155378
fatigue_rate,0.2,15,0.0,-0.05038208169379765,0.17498632095877165
fatigue_rate,0.2,16,0.0,0.07071908372494962,0.21606607073737094
fatigue_rate,0.2,17,0.0,0.09899659734145128,0.023216174387595823
fatigue_rate,0.2,18,0.0,0.024746067920957904,0.03486979505059984
fatigue_rate,0.2,19,0.0,0.15519137746300693,0.1772068756626437
fatigue_rate,0.2,20,0.0,0.07454810340645501,0.03738122712680414
fatigue_rate,0.2,21,0.0,-0.003105696027060345,0.12108742018315777
fatigue_rate,0.2,22,0.0,0.13722085402785122,0.31729085086183084
fatigue_rate,0.2,23,0.0,0.09687731107396269,0.2980525159902814
fatigue_rate,0.2,24,0.0,0.0196373587447618,0.05776939834050343
fatigue_rate,0.4,10,0.0,0.08130585086080866,0.033529035966686216
fatigue_rate,0.4,11,0.0,0.04272770675154747,0.1867377964345851
fatigue_rate,0.4,12,0.0,0.033033543264813225,0.08021373663160691
fatigue_rate,0.4,13,0.0,0.09836021206304113,0.14234050512223329
fatigue_rate,0.4,14,0.0,0.011904342565580928,0.11579756780795636
fatigue_rate,0.4,15,0.0,0.1694371728244115,0.25530152359889957
fatigue_rate,0.4,16,0.0,0.14268139331149587,0.30540024674223054
fatigue_rate,0.4,17,0.0,0.09268531975386551,-0.057450337244147054
fatigue_rate,0.4,18,0.0,-0.009162972098491373,-0.09177202789119776
fatigue_rate,0.4,19,0.0,0.20350724180509228,0.1994323773566784
fatigue_rate,0.4,20,0.0,0.19798852025801228,0.05548963865903733
fatigue_rate,0.4,21,0.0,0.04941878707651104,0.17047544190903663
fatigue_rate,0.4,22,0.0,0.17891021963728515,0.20396264631599248
fatigue_rate,0.4,23,0.0,0.005315314980640196,0.1495174586211634
fatigue_rate,0.4,24,0.0,0.10971944380468468,-0.01206301031684831
fatigue_rate,0.6,10,0.0,0.11727322568895193,-0.023547708880348295
fatigue_rate,0.6,11,0.0,-0.02554867455420129,0.05601117319715887
fatigue_rate,0.6,12,0.0,-0.05596010754054159,-0.07465770395532956
fatigue_rate,0.6,13,0.0,0.01968624903965721,0.0684622876452059
fatigue_rate,0.6,14,0.0,-0.014584676540952968,-0.006280191634900456
fatigue_rate,0.6,15,0.0,0.10889858971240152,0.2630216628346562
fatigue_rate,0.6,16,0.0,0.09434157713885205,0.20461752572151415
fatigue_rate,0.6,17,0.0,0.06311592584184278,-0.15761517390942137
fatigue_rate,0.6,18,0.0,-0.03641616394534086,-0.08210501798816539
fatigue_rate,0.6,19,0.0,0.25884042504241633,0.16335800558894897
fatigue_rate,0.6,20,0.0,0.23122773429365373,-0.0395933082783807
fatigue_rate,0.6,21,0.0,0.07427311546473137,0.09080400914927345
fatigue_rate,0.6,22,0.0,0.09894157892092426,0.0763732838694492
fatigue_rate,0.6,23,0.0,0.023012649467166524,-0.01573391727699347
fatigue_rate,0.6,24,0.0,0.06456666253463084,-0.10079373832787553
delayed_reward_strength,0.0,10,0.0,0.0,0.0
delayed_reward_strength,0.0,11,0.0,0.0,0.0
delayed_reward_strength,0.0,12,0.0,0.0,0.0
delayed_reward_strength,0.0,13,0.0,0.0,0.0
delayed_reward_strength,0.0,14,0.0,0.0,0.0
delayed_reward_strength,0.0,15,0.0,0.0,0.0
delayed_reward_strength,0.0,16,0.0,0.0,0.0
delayed_reward_strength,0.0,17,0.0,0.0,0.0
delayed_reward_strength,0.0,18,0.0,0.0,0.0
delayed_reward_strength,0.0,19,0.0,0.0,0.0
delayed_reward_strength,0.0,20,0.0,0.0,0.0
delayed_reward_strength,0.0,21,0.0,0.0,0.0
delayed_reward_strength,0.0,22,0.0,0.0,0.0
delayed_reward_strength,0.0,23,0.0,0.0,0.0
delayed_reward_strength,0.0,24,0.0,0.0,0.0
delayed_reward_strength,0.25,10,0.0,0.21762153656155658,-0.16641675671148315
delayed_reward_strength,0.25,11,0.0,0.3042601804676577,0.0013122728565384545
delayed_reward_strength,0.25,12,0.0,0.21580318287167777,-0.11681895222187166
