axis,value,seed,policy,mean_reward,std_reward,purchase_rate
fatigue_rate,0.0,10,bandit_v2,1.5100365612636057,3.323105640273454,0.0798
fatigue_rate,0.0,10,ppo_v3,1.6347849469986666,3.44541507428812,0.0838
fatigue_rate,0.0,10,fqi_v3,1.4225506092076394,3.217520304569617,0.0784
fatigue_rate,0.0,10,uniform,1.3941617375400888,3.2730836582977263,0.0786
fatigue_rate,0.0,10,no_op,1.3099376113040386,3.1665527241720315,0.0808
fatigue_rate,0.0,11,bandit_v2,1.5170774846353534,3.343321109360233,0.0812
fatigue_rate,0.0,11,ppo_v3,1.54124948205918,3.3851037551172696,0.086
fatigue_rate,0.0,11,fqi_v3,1.396088785280458,3.2289681541014534,0.0796
fatigue_rate,0.0,11,uniform,1.4696812139464732,3.302203215338538,0.0818
fatigue_rate,0.0,11,no_op,1.2002902838840166,3.0164649573638087,0.0706
fatigue_rate,0.0,12,bandit_v2,1.4279026840492002,3.196745300741593,0.0732
fatigue_rate,0.0,12,ppo_v3,1.4761420913764278,3.3728217111029384,0.0838
fatigue_rate,0.0,12,fqi_v3,1.4205518111134288,3.304123802042425,0.0822
fatigue_rate,0.0,12,uniform,1.3765023205383975,3.233979536707974,0.078
fatigue_rate,0.0,12,no_op,1.2948597335408925,3.1620681092780023,0.0778
fatigue_rate,0.0,13,bandit_v2,1.492918361293233,3.291773527006279,0.0762
fatigue_rate,0.0,13,ppo_v3,1.3987621784159676,3.2542824891770503,0.0766
fatigue_rate,0.0,13,fqi_v3,1.3993397580077165,3.2248387893068426,0.0796
fatigue_rate,0.0,13,uniform,1.393755323487224,3.25185048243627,0.0768
fatigue_rate,0.0,13,no_op,1.2859973556467512,3.1557734931630943,0.079
fatigue_rate,0.0,14,bandit_v2,1.5095224479537863,3.3984711210944436,0.0818
fatigue_rate,0.0,14,ppo_v3,1.5421702124471741,3.279263781473599,0.0758
fatigue_rate,0.0,14,fqi_v3,1.4052461077849072,3.2274469571045046,0.0798
fatigue_rate,0.0,14,uniform,1.424489802327257,3.294481402992064,0.081
fatigue_rate,0.0,14,no_op,1.2761072237745268,3.0435649267962055,0.0744
fatigue_rate,0.0,15,bandit_v2,1.5037835473104841,3.325874948157348,0.0816
fatigue_rate,0.0,15,ppo_v3,1.4822871284026642,3.394897633856287,0.0812
fatigue_rate,0.0,15,fqi_v3,1.3199806704802204,3.1651092534644087,0.073
fatigue_rate,0.0,15,uniform,1.4219383939208696,3.24471940831586,0.0794
fatigue_rate,0.0,15,no_op,1.3360354645211676,3.213164207368206,0.0818
fatigue_rate,0.0,16,bandit_v2,1.6187525550353823,3.4535481543829696,0.088
fatigue_rate,0.0,16,ppo_v3,1.5643700019237987,3.4196531124574747,0.0832
fatigue_rate,0.0,16,fqi_v3,1.3564999314699555,3.1688421801065223,0.075
fatigue_rate,0.0,16,uniform,1.4225600086433652,3.2938568192551902,0.0794
fatigue_rate,0.0,16,no_op,1.3068904671716575,3.1596260297407346,0.0796
fatigue_rate,0.0,17,bandit_v2,1.427420332497724,3.1884709838350838,0.071
fatigue_rate,0.0,17,ppo_v3,1.4816503682729816,3.266394829125601,0.0796
fatigue_rate,0.0,17,fqi_v3,1.3690927403006086,3.1550787501686908,0.0722
fatigue_rate,0.0,17,uniform,1.4208951172635995,3.272373812194008,0.0788
fatigue_rate,0.0,17,no_op,1.2394327944116246,3.039980984475856,0.0734
fatigue_rate,0.0,18,bandit_v2,1.4560986272491965,3.236839074101923,0.074
fatigue_rate,0.0,18,ppo_v3,1.5016244782019124,3.31209750116198,0.0798
fatigue_rate,0.0,18,fqi_v3,1.4187713811537934,3.318025633091162,0.083
fatigue_rate,0.0,18,uniform,1.3929124289538457,3.2334957638876634,0.0772
fatigue_rate,0.0,18,no_op,1.1783664446316775,2.9549834120403067,0.0688
fatigue_rate,0.0,19,bandit_v2,1.6022185030645397,3.4675997264993437,0.0882
fatigue_rate,0.0,19,ppo_v3,1.4519406734810028,3.2616583312359455,0.079
fatigue_rate,0.0,19,fqi_v3,1.348474366278666,3.2047221871851717,0.0784
fatigue_rate,0.0,19,uniform,1.4041993346668227,3.2353253757650218,0.079
fatigue_rate,0.0,19,no_op,1.361148149497409,3.2554580781914013,0.0858
fatigue_rate,0.0,20,bandit_v2,1.4456714851937267,3.2824080992871694,0.0748
fatigue_rate,0.0,20,ppo_v3,1.372474831090389,3.228849576674802,0.0724
fatigue_rate,0.0,20,fqi_v3,1.429625244021344,3.2877217565073047,0.082
fatigue_rate,0.0,20,uniform,1.4204525119888542,3.2839638728537834,0.0786
fatigue_rate,0.0,20,no_op,1.2186434814011158,3.0375124764631543,0.0724
fatigue_rate,0.0,21,bandit_v2,1.4531641428448863,3.2654703682545088,0.0772
fatigue_rate,0.0,21,ppo_v3,1.5264080037289887,3.3581897326672254,0.082
fatigue_rate,0.0,21,fqi_v3,1.3424403950662633,3.185402838865779,0.0768
fatigue_rate,0.0,21,uniform,1.3947475141470638,3.203559192369311,0.077
fatigue_rate,0.0,21,no_op,1.3496697418157089,3.2037777074506937,0.0834
fatigue_rate,0.0,22,bandit_v2,1.5470385049939974,3.356240920403333,0.0832
fatigue_rate,0.0,22,ppo_v3,1.5378709063864886,3.3225762705791557,0.0812
fatigue_rate,0.0,22,fqi_v3,1.2863801111899125,3.1094283562714646,0.07
fatigue_rate,0.0,22,uniform,1.3809327229929673,3.2256098624988523,0.0766
fatigue_rate,0.0,22,no_op,1.2876910815118405,3.133239119174264,0.077
fatigue_rate,0.0,23,bandit_v2,1.452436924471586,3.2614705963048976,0.0776
fatigue_rate,0.0,23,ppo_v3,1.5300581778309739,3.3634099338421994,0.084
fatigue_rate,0.0,23,fqi_v3,1.3513669815512115,3.209366355356295,0.0764
fatigue_rate,0.0,23,uniform,1.4422110466819116,3.2816433676160583,0.0784
fatigue_rate,0.0,23,no_op,1.248020483845504,3.0618450780779023,0.075
fatigue_rate,0.0,24,bandit_v2,1.4493220370691209,3.238221143268627,0.0764
fatigue_rate,0.0,24,ppo_v3,1.4644808808670842,3.2708608170781637,0.0774
fatigue_rate,0.0,24,fqi_v3,1.3663150600835794,3.2085525907095254,0.079
fatigue_rate,0.0,24,uniform,1.4322788026572024,3.305852836040442,0.0776
fatigue_rate,0.0,24,no_op,1.3501581326170922,3.203891450244311,0.0816
fatigue_rate,0.1,10,bandit_v2,1.2730768217410091,3.202300092451206,0.0802
fatigue_rate,0.1,10,ppo_v3,1.2809031414879233,3.1423917706525986,0.0758
fatigue_rate,0.1,10,fqi_v3,1.3081630135624789,3.191302501188016,0.08
fatigue_rate,0.1,10,uniform,1.2010017375400885,3.173059645953623,0.0786
fatigue_rate,0.1,10,no_op,1.3099376113040386,3.1665527241720315,0.0808
